Metric,Value
total_sales_usd,6737218987.11
average_weekly_sales_usd,1046964.88
median_weekly_sales_usd,960746.04
max_weekly_sales_usd,3818686.45
min_weekly_sales_usd,209986.25
std_weekly_sales_usd,564366.62
data_start_date,2010-02-05
data_end_date,2012-10-26
total_weeks,6435
total_stores,45
sales_2010_usd,2288886120.41
sales_2011_usd,2448200007.35
sales_2012_usd,2000132859.35
growth_2010_to_2011_pct,6.96
growth_2011_to_2012_pct,-18.3
best_store_number,20
best_store_total_sales_usd,301397792.46
worst_store_number,33
worst_store_total_sales_usd,37160221.96
sales_gap_best_vs_worst_ratio,8.11
top_3_stores_sales_contribution_pct,13.21
top_5_stores_sales_contribution_pct,21.55
top_10_stores_sales_contribution_pct,39.05
holiday_weeks_count,450
holiday_weeks_percentage,6.99
avg_sales_holiday_usd,"Holiday_Flag
0    1.04
1    1.12
Name: Weekly_Sales, dtype: float64"
avg_sales_non_holiday_usd,1041256.38
holiday_sales_lift_pct,7.84
best_holiday_week_date,2011-11-25
best_holiday_week_store,4
best_holiday_week_sales_usd,3004702.33
best_month,Dec
best_month_avg_sales_usd,1281863.63
worst_month,Jan
worst_month_avg_sales_usd,923884.55
monthly_difference_pct,38.75
best_season,Winter
best_season_avg_sales_usd,1094937.01
worst_season,Spring
worst_season_avg_sales_usd,1023801.29
q4_vs_q1_difference_pct,12.19
correlation_temperature,-0.0638
correlation_fuel_price,0.0095
correlation_cpi,-0.0726
correlation_unemployment,-0.1062
outlier_sales_count,34
normal_sales_lower_bound_usd,-746862.73
normal_sales_upper_bound_usd,2720371.49
